"date","prec","tmin","tmax","bullet","color","um"
"1491019200619","0","13","19","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1491105600619","0","14","18","/images/icone/italia_2014/parzialmente_nuvoloso.png","#1461A1","mm"
"1491192000619","0","14","23","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1491278400619","11","14","21","/images/icone/italia_2014/var_temporale_lieve.png","#1461A1","mm"
"1491364800619","3","13","17","/images/icone/italia_2014/var_rovesci_30.png","#1461A1","mm"
"1491451200619","0","11","15","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1491537600619","0","12","14","/images/icone/italia_2014/velato.png","#1461A1","mm"
"1491624000619","0","12","16","/images/icone/italia_2014/sereno.png","#1461A1","mm"
"1491710400620","0","13","18","/images/icone/italia_2014/sereno.png","#1461A1","mm"
"1491796800620","0","13","17","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1491883200620","2","13","18","/images/icone/italia_2014/var_rovesci_30.png","#1461A1","mm"
"1491969600621","0","12","16","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1492056000621","0","13","17","/images/icone/italia_2014/parzialmente_nuvoloso.png","#1461A1","mm"
"1492142400621","2","14","19","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1492228800621","4","13","17","/images/icone/italia_2014/var_rovesci_30.png","#1461A1","mm"
"1492315200621","6","11","19","/images/icone/italia_2014/var_rovesci_30.png","#1461A1","mm"
"1492401600621","0","11","14","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1492488000621","15","8","13","/images/icone/italia_2014/pioggia_70.png","#1461A1","mm"
"1492574400622","0","8","12","/images/icone/italia_2014/parz_nuv_strati.png","#1461A1","mm"
"1492660800622","0","9","13","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1492747200622","0","7","12","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1492833600622","0","9","15","/images/icone/italia_2014/sereno.png","#1461A1","mm"
"1492920000622","0","11","16","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1493006400622","0","11","15","/images/icone/italia_2014/molto_nuvoloso.png","#1461A1","mm"
"1493092800623","0","14","16","/images/icone/italia_2014/var_no_prec.png","#1461A1","mm"
"1493179200623","22","15","18","/images/icone/italia_2014/pioggia_40.png","#1461A1","mm"
"1493265600623","52","15","18","/images/icone/italia_2014/temporale.png","#1461A1","mm"
"1493352000623","6","11","16","/images/icone/italia_2014/var_rovesci_30.png","#1461A1","mm"
"1493438400623","0","12","16","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1493524800623","0","11","17","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
